id,title,price,promo_price,url,region
3200892,Конструктор LEGO Star Wars Episode IX Сокол Тысячелетия,13499RUB,8499RUB,https://www.detmir.ru/product/index/id/3200892/,Moscow
3092804,Конструктор LEGO DUPLO Town Рельсы,1799RUB,1049RUB,https://www.detmir.ru/product/index/id/3092804/,Moscow
3597034,Конструктор LEGO Harry Potter Визит в деревню Хогсмид,7499RUB,4729RUB,https://www.detmir.ru/product/index/id/3597034/,Moscow
3244592,Конструктор LEGO Ninjago Подземелье колдуна-скелета,8999RUB,5489RUB,https://www.detmir.ru/product/index/id/3244592/,Moscow
3597033,Конструктор LEGO Harry Potter Хогвартс: пушистая встреча,3699RUB,2329RUB,https://www.detmir.ru/product/index/id/3597033/,Moscow
3405538,Конструктор LEGO Creator Транспортировщик гоночных автомобилей,2199RUB,1339RUB,https://www.detmir.ru/product/index/id/3405538/,Moscow
3597020,Конструктор LEGO Ninjago Подводный Дар Судьбы,13499RUB,8589RUB,https://www.detmir.ru/product/index/id/3597020/,Moscow
3122104,Конструктор LEGO Harry Potter Гремучая ива,6499RUB,3959RUB,https://www.detmir.ru/product/index/id/3122104/,Moscow
3405553,Конструктор LEGO Friends Передвижной груминг-салон для кошек,799RUB,529RUB,https://www.detmir.ru/product/index/id/3405553/,Moscow
3596976,Конструктор LEGO Ninjago Спидер-амфибия ниндзя,3599RUB,2119RUB,https://www.detmir.ru/product/index/id/3596976/,Moscow
3405554,Конструктор LEGO Friends Машина скорой ветеринарной помощи,2599RUB,1609RUB,https://www.detmir.ru/product/index/id/3405554/,Moscow
3405622,Конструктор LEGO Ninjago Деревня Хранителей,4499RUB,2739RUB,https://www.detmir.ru/product/index/id/3405622/,Moscow
3405603,Конструктор LEGO DC Super Heroes Майлс Моралес Робот,999RUB,929RUB,https://www.detmir.ru/product/index/id/3405603/,Moscow
3244512,Конструктор LEGO Friends Самолёт в Хартлейк Сити,6499RUB,3949RUB,https://www.detmir.ru/product/index/id/3244512/,Moscow
3405594,Конструктор LEGO City Great Vehicles Транспортировка самолёта на авиашоу,2499RUB,1549RUB,https://www.detmir.ru/product/index/id/3405594/,Moscow
3405600,Конструктор LEGO DC Super Heroes Человек-Паук и Призрачный Гонщик против Карнажа,1799RUB,,https://www.detmir.ru/product/index/id/3405600/,Moscow
3597032,Конструктор LEGO Harry Potter Хогвартс: ошибка с оборотным зельем,1799RUB,1139RUB,https://www.detmir.ru/product/index/id/3597032/,Moscow
3590734,Конструктор LEGO DUPLO Town Экспедиция на шаттле,1499RUB,949RUB,https://www.detmir.ru/product/index/id/3590734/,Moscow
3405638,Конструктор LEGO Minecraft,5499RUB,3349RUB,https://www.detmir.ru/product/index/id/3405638/,Moscow
3596757,Конструктор LEGO DUPLO Town Гараж и автомойка,8999RUB,5469RUB,https://www.detmir.ru/product/index/id/3596757/,Moscow
3244603,Конструктор LEGO Star Wars Клоны-пехотинцы 501легиона,2799RUB,1819RUB,https://www.detmir.ru/product/index/id/3244603/,Moscow
3226587,Конструктор LEGO Minecraft Приключения в тайге,899RUB,649RUB,https://www.detmir.ru/product/index/id/3226587/,Moscow
3188097,Конструктор LEGO Technic Экстремальный внедорожник,19999RUB,12169RUB,https://www.detmir.ru/product/index/id/3188097/,Moscow
3405527,Конструктор LEGO DUPLO My First Поезд для животных,1599RUB,1009RUB,https://www.detmir.ru/product/index/id/3405527/,Moscow
3226644,Конструктор LEGO Disney Princess Книга приключений Анны и Эльзы,1699RUB,1059RUB,https://www.detmir.ru/product/index/id/3226644/,Moscow
3597037,Конструктор LEGO Speed Champions Toyota GR Supra,1799RUB,1129RUB,https://www.detmir.ru/product/index/id/3597037/,Moscow
3594631,Конструктор LEGO Super Heroes Веном,5999RUB,5299RUB,https://www.detmir.ru/product/index/id/3594631/,Moscow
3405588,Конструктор LEGO City Great Vehicles Отпуск в доме на колесах,1499RUB,969RUB,https://www.detmir.ru/product/index/id/3405588/,Moscow
3596975,Конструктор LEGO Ninjago Водный робот Ллойда,1699RUB,1079RUB,https://www.detmir.ru/product/index/id/3596975/,Moscow
3405548,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити,2599RUB,1619RUB,https://www.detmir.ru/product/index/id/3405548/,Moscow
3596977,Конструктор LEGO Ninjago Атака огненного дракона,4499RUB,2839RUB,https://www.detmir.ru/product/index/id/3596977/,Moscow
3405651,Конструктор LEGO Technic Экскаватор Liebherr R 9800,37999RUB,25899RUB,https://www.detmir.ru/product/index/id/3405651/,Moscow
3597029,Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва,8499RUB,5369RUB,https://www.detmir.ru/product/index/id/3597029/,Moscow
3244608,Конструктор LEGO Star Wars AT-AT,13999RUB,8519RUB,https://www.detmir.ru/product/index/id/3244608/,Moscow
3244532,Конструктор LEGO City Исследовательская подводная лодка,2499RUB,1519RUB,https://www.detmir.ru/product/index/id/3244532/,Moscow
3226584,Конструктор LEGO Minecraft Питомник панд,1799RUB,1099RUB,https://www.detmir.ru/product/index/id/3226584/,Moscow
3142077,Конструктор LEGO City Fire Пожар в бургер-кафе,2499RUB,1619RUB,https://www.detmir.ru/product/index/id/3142077/,Moscow
3244517,Конструктор LEGO Friends Модный бутик Эммы,2599RUB,1609RUB,https://www.detmir.ru/product/index/id/3244517/,Moscow
3597018,Конструктор LEGO Ninjago Водный дракон,6499RUB,4089RUB,https://www.detmir.ru/product/index/id/3597018/,Moscow
597011,Конструктор LEGO Star Wars TM AT-AT™,799RUB,679RUB,https://www.detmir.ru/product/index/id/597011/,Moscow
597041,Конструктор LEGO Bionicle Лева – Повелитель Джунглей,999RUB,689RUB,https://www.detmir.ru/product/index/id/597041/,Moscow
597161,Конструктор LEGO Chima Лагерь Клана львов,699RUB,429RUB,https://www.detmir.ru/product/index/id/597161/,Moscow
